tcpConnections,dnsSize,totalTasks,runningTasks,sleepingTasks,stoppedTasks,zombie,totalMemory,freeMemory,usedMemory,bufferCache,totalSwap,freeSwap,usedSwap,availableMemory,deviceState,IOStats_tps,IOStats_rtps,IOStats_wtps,IOStats_dtps,IOStats_bread/s,IOStats_bwrtn/s,IOStats_bdscd/s,CPU Utilization_CPU,CPU Utilization_%user,CPU Utilization_%nice,CPU Utilization_%system,CPU Utilization_%iowait,CPU Utilization_%steal,CPU Utilization_%idle,Memory Utilization_kbmemfree,Memory Utilization_kbavail,Memory Utilization_kbmemused,Memory Utilization_%memused,Memory Utilization_kbbuffers,Memory Utilization_kbcached,Memory Utilization_kbcommit,Memory Utilization_%commit,Memory Utilization_kbactive,Memory Utilization_kbinact,Memory Utilization_kbdirty,Disk Device Status_DEV,Disk Device Status_tps,Disk Device Status_rkB/s,Disk Device Status_wkB/s,Disk Device Status_dkB/s,Disk Device Status_areq-sz,Disk Device Status_aqu-sz,Disk Device Status_await,Disk Device Status_%util,Processor Queue_runq-sz,Processor Queue_plist-sz,Processor Queue_ldavg-1,Processor Queue_ldavg-5,Processor Queue_ldavg-15,Processor Queue_blocked
176,10,174,2,172,0,0,922.8,124.1,318.2,480.5,100,100,0,530.1,3,0.3,0,0.3,0,0,5.6,0,all,25.97,0,1.33,0,0,72.7,127866,543503,306424,32.43,35277,431957,1570476,149.94,131628,607761,381,mmcblk0,0.3,0,2.8,0,9.33,0,3.67,0.2,1,279,1.9,1.83,1.65,0
140,6,174,2,172,0,0,922.8,123.5,318.8,480.6,100,100,0,529.4,3,1.5,0,1.5,0,0,16.8,0,all,25.18,0,0.88,0,0,73.94,127221,542863,307152,32.5,35319,431920,1571435,150.04,131669,608661,270,mmcblk0,1.5,0,8.4,0,5.6,0.01,9.93,0.3,1,280,1.65,1.78,1.63,0
162,6,174,2,172,0,0,922.8,123.4,319,480.5,100,100,0,529.3,1,1.6,0,1.6,0,0,26.37,0,all,27.15,0,1.84,0,0,71.02,124876,540584,309453,32.75,35364,431891,1577870,150.65,131703,610066,510,mmcblk0,1.3,0,9.6,0,7.38,0.01,9.31,0.3,1,284,1.58,1.74,1.63,0
159,12,173,1,172,0,0,922.8,122.9,319.2,480.7,100,100,0,529,1,3.3,0,3.3,0,0,43.2,0,all,25.08,0,0.58,0,0,74.35,126628,542421,307686,32.56,35404,431934,1571383,150.03,131733,609128,249,mmcblk0,3.3,0,21.6,0,6.55,0.04,12.61,0.9,1,279,1.9,1.8,1.65,0
168,18,173,2,171,0,0,922.8,120.8,321.4,480.6,100,100,0,526.9,1,3.7,0,3.7,0,0,36,0,all,25.06,0,0.65,0,0,74.29,125764,541555,308539,32.65,35460,431881,1573585,150.24,131793,610126,219,mmcblk0,3.7,0,18,0,4.86,0.08,21.86,0.7,1,279,1.88,1.81,1.66,0
149,6,173,2,171,0,0,922.8,119.8,322.4,480.7,100,100,0,525.9,1,4.1,0,4.1,0,0,80.8,0,all,25.06,0,1.05,0.03,0,73.87,123776,539656,310304,32.84,35502,431924,1573566,150.24,131833,612124,127,mmcblk0,4.1,0,40.36,0,9.85,0.13,30.83,0.9,1,279,1.58,1.75,1.64,0
145,10,173,1,172,0,0,922.8,118.7,323.4,480.7,100,100,0,524.8,2,1.9,0,1.9,0,0,23.18,0,all,25.08,0,1.03,0,0,73.9,122039,537926,312087,33.03,35544,431886,1574590,150.34,131879,613367,387,mmcblk0,1.9,0,11.6,0,6.11,0.04,20.53,0.6,2,280,1.83,1.79,1.66,0
164,13,172,2,170,0,0,922.8,115.9,326.2,480.7,100,100,0,522,2,0.2,0,0.2,0,0,4.8,0,all,25.45,0,0.88,0.03,0,73.65,120690,536593,313543,33.18,35584,431858,1575582,150.43,131919,614795,352,mmcblk0,0.2,0,2.4,0,12,0,2.5,0.1,1,277,2.07,1.86,1.69,0
168,10,172,2,170,0,0,922.8,115.3,326.7,480.8,100,100,0,521.5,2,0.2,0,0.2,0,0,4.8,0,all,25.1,0,0.98,0,0,73.92,119427,535440,314571,33.29,35627,431926,1576606,150.53,131962,616394,388,mmcblk0,0.2,0,2.4,0,12,0,2.5,0.1,1,278,1.79,1.81,1.68,0
137,8,181,2,179,0,0,922.8,107.4,334.5,480.9,100,100,0,513.6,0,0.3,0,0.3,0,0,6.4,0,all,25.05,0,0.68,0.03,0,74.25,118037,534072,315967,33.44,35688,431891,1576759,150.54,132019,617714,22,mmcblk0,0.3,0,3.2,0,10.67,0,3.67,0.2,1,278,1.66,1.76,1.67,0
